FullName
Harald Zwart
Walter Salles
Iain Softley
David Koepp
Uwe Boll
John Dahl
Tim Miller
Stephen Herek
Peter MacDonald
Anthony Hemingway
Sean Anders
Mark Neveldine
John Madden
Kevin Bray
Mike Gabriel
Sam Weisman
Jesse Dylan
Wayne Wang
Gabriele Muccino
Andrey Konchalovskiy
Tom Dey
Jimmy Hayward
Alan Parker
John Frankenheimer
Paul King
Akiva Schaffer
William Friedkin
Kent Alterman
Shekhar Kapur
Karyn Kusama
Ron Maxwell
Robert Butler
Karey Kirkpatrick
James Bobin
Steve Antin
Francis Ford Coppola
Richard Lester
Scott Cooper
Curtis Hanson
Phyllida Lloyd
Jay Chandrasekhar
Terrence Malick
David Dobkin
Milos Forman
Pierre Morel
Paul Hunter
Steve Oedekerk
John Whitesell
George Nolfi
Rawson Marshall Thurber
Spike Lee
Brian Helgeland
Frank Marshall
Hideo Nakata
Peter Hewitt
Joe Roth
Bennett Miller
Jaume Collet-Serra
Andy Fickman
James McTeigue
Matthew O''Callaghan
Angela Robinson
Gary Fleder
Tommy Wirkola
Adrian Lyne
Stephen Gaghan
Jorge R. Guti??rrez
Richard Loncraine
Christophe Gans
Howard Deutch
Jon Hurwitz
Steven Quale
John Landis
Alexander Witt
Beeban Kidron
Carl Franklin
Steven Seagal
Danny Boyle
Andrew Bergman
Barbet Schroeder
Peter Webber
Andrew Niccol
John Carpenter
Wes Anderson
David Cronenberg
John Stockwell
David Gordon Green
Jim Sheridan
Costa-Gavras
Patrick Read Johnson
Richard LaGravenese
Danny DeVito
George Armitage
Patrick Lussier
James Wong
Chuck Bowman
Olivier Megaton
Deepa Mehta
Warren Beatty
Penny Marshall
Ted Kotcheff
Andrei Tarkovsky
Paul Bolger
Stephen Frears
P.J. Hogan
Brad Furman
David Zucker
Denis Villeneuve
Keenen Ivory Wayans
Thomas Carter
Roger Michell
Luis Llosa
Richard Curtis
Melville Shavelson
Garth Jennings
Joel Zwick
Russell Mulcahy
David R. Ellis
Peter Howitt
John A. Davis
David Lynch
Julie Taymor
Mathieu Kassovitz
John Gray
John Schultz
Sean Penn
Susan Stroman
Simon Wincer
Billy Bob Thornton
Danny Pang
George P. Cosmatos
Oliver Parker
Lawrence Kasanoff
Ben Affleck
Brian Gibson
Norman Ferguson
Michael Cimino
Paul McGuigan
Gus Van Sant
Roger Kumble
Burr Steers
Peter Lord
John Hamburg
Reginald Hudlin
Joseph L. Mankiewicz
Barbra Streisand
Mark Pellington
John Glen
Catherine Hardwicke
John Herzfeld
Annabel Jankel
Julie Anne Robinson
Evan Goldberg
Sngmoo Lee
Gordon Chan
Asger Leth
John G. Avildsen
Anne Fletcher
Bruce Beresford
Sam Taylor-Johnson
Robert Rodriguez
Ken Kwapis
Wes Craven
Etan Cohen
Nick Cassavetes
Nicholas Stoller
Mark A.Z. Dipp??
Cal Brunker
Nimr??d Antal
Alejandro Agresti
Peter Hedges
Paul Weiland
Joan Chen
Greg Mottola
Jake Kasdan
Diane Keaton
Kelly Makin
Stephen Daldry
Christian Duguay
Justin Chadwick
Pat O''Connor
Irwin Winkler
Joseph Kahn
Sofia Coppola
Stephen Kay
J.A. Bayona
Elaine May
Dennie Gordon
Charles Shyer
Ulu Grosbard
William Malone
Malcolm D. Lee
Jerry Jameson
Mic Rodgers
Christian Alvart
Jean-Marie Poir??
Marc F. Adler
Richard Shepard
Peter Ho-Sun Chan
Joon-ho Bong
Jeff Nathanson
S.S. Rajamouli
Charles S. Dutton
Jonathan Lynn
David Carson
Kar-Wai Wong
Yuefeng Song
Norman Jewison
David Mirkin
Luis Mandoki
Lee Daniels
Jeb Stuart
Steve Miner
